projectID,projectAcronym,organisationID,name,shortName,SME,activityType,city,country,nutsCode,geolocation,organizationURL,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active
101157200,BASE,889616392,SQM SA,,false,PRC,Santiago,CL,CL,"-33.413794949999996,-70.5865420199983",,2025-10-20 17:38:03,1974462,17,associatedPartner,,0,0,false,
101147385,Minority Report,999873673,UNIVERSITY OF CANTERBURY,,false,HES,CHRISTCHURCH,NZ,NZ,"-43.530955,172.6366455",https://www.canterbury.ac.nz,2024-09-06 18:32:06,2125705,7,participant,197500,197500,197500,false,
101145675,EBO-PEP,881477704,AGENCE NATIONALE DE SECURITE SANITAIRE,,false,REC,CONAKRY,GN,GN,"9.515174440792869,-13.707258863512813",,2026-06-19 16:44:15,1988135,7,participant,100000,100000,100000,false,
101133987,ForestAgriGreenNudge,907726680,ASSOCIATION D'EDUCATION ENVIRONNEMENTALE POUR LES FUTURES GENERATION,Association d'éducation Environnementale pour les Futures Générations (AEEFG),false,OTH,TUNIS,TN,TN,"37.1582975,9.806797798695769",,2025-10-20 17:38:03,1988227,9,participant,54750,54750,54750,false,
101156589,SOILPROM,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-06-25 11:32:40,1909285,8,participant,296050,296050,296050,false,
101169465,EuroMedMig,929283572,UNIVERSITE MOHAMMED V DE RABAT,UNIVERSITE MOHAMMED V DE RABAT,true,HES,Rabat,MA,MA,"34.0014733,-6.8435247",http://www.um5.ac.ma,2026-06-25 11:33:06,2303049,17,associatedPartner,,0,0,false,
101169465,EuroMedMig,929283572,UNIVERSITE MOHAMMED V DE RABAT,UNIVERSITE MOHAMMED V DE RABAT,true,HES,Rabat,MA,MA,"34.0014733,-6.8435247",http://www.um5.ac.ma,2026-06-25 11:33:06,2303049,5,participant,0,0,0,true,
101183033,STOP-MATING,986872084,Institut Pasteur de Madagascar,IPM,false,REC,Antananarivo,MG,MG,"-18.7920779,47.7823214",,2026-06-25 11:33:15,1947090,8,associatedPartner,,0,0,false,
101183033,STOP-MATING,894528375,Institut Pasteur de Bangui,,false,OTH,Bangui,CF,CF,"4.439994,18.5361266",,2026-06-25 11:33:15,1988654,7,associatedPartner,,0,0,false,
101169280,EUFOG,999873673,UNIVERSITY OF CANTERBURY,,false,HES,CHRISTCHURCH,NZ,NZ,"-43.530955,172.6366455",https://www.canterbury.ac.nz,2026-06-25 11:33:22,2125705,7,associatedPartner,,0,0,false,
101168576,HealthIntelAct,889726390,Registered Nurses Association of Ontario,Registered Nurses' Association of Ontario,true,OTH,Toronto,CA,CA,"43.663199,-79.3839865",,2026-03-04 11:43:02,1988770,23,associatedPartner,,0,0,false,
101167768,VIVACE,889721346,Human Link,,false,REC,Baabda,LB,LB,"33.8221135,35.5424616",,2026-05-11 11:27:00,1988722,15,associatedPartner,,0,0,false,
101182877,HEPHAESTUS,999588784,POLITECHNIKA GDANSKA,GDANSK UNIVERSITY OF TECHNOLOGY,false,HES,GDANSK,PL,PL633,"54.3482259,18.6542888",http://www.pg.gda.pl,2026-05-26 14:58:44,1909285,3,participant,96600,96600,0,false,
101147311,LAPERITIVO,906552980,GREEN ENERGY PARK,GEP,false,REC,BENGUERIR,MA,MA,"32.22120100294158,-7.928934728574714",,2026-03-27 15:10:23,1972289,15,participant,0,0,0,false,
101168562,SafeHorizon,999810623,Cyprus police,,false,PUB,Nicosia,CY,CY000,"35.1554534,33.3475976726927",http://www.police.gov.cy,2026-04-24 14:07:11,1906017,10,participant,170000,170000,170000,false,
101168349,eNOVATION,877542996,Ministry of Emergency Situations of the Republic of Uzbekistan,Ministry of Emergency Situations of the Republic of Uzbekistan,false,PUB,Tashkent,UZ,UZ,"41.3123363,69.2787079",,2026-06-03 12:58:03,1988907,22,participant,28750,28750,28750,false,
101168349,eNOVATION,870889184,Educational Complex of the Ministry of Internal Affairs of the Republic of Armenia,MIA Educational Complex,false,HES,Yerevan,AM,AM,"40.1561936,44.4536144",,2026-06-03 12:58:03,1996789,21,participant,22500,22500,22500,false,
101145790,CT-Luso,879152905,ARFAME,ARFAME,false,REC,Bissau,GW,GW,"11.8364508,-15.5984959",,2026-06-19 16:45:01,1988948,22,associatedPartner,,0,0,false,
101145790,CT-Luso,917208333,direcção nacional de medicamentos e equipamentos,autoridade reguladora dos medicamentos,false,PRC,Luanda,AO,AO,"-9.51803445,13.53567602042315",,2026-06-19 16:45:01,1988941,14,associatedPartner,,0,0,false,
101145790,CT-Luso,917086986,Comité Nacional de Ética em Pesquisa na Saúde (CNEPS),,false,PUB,Bissau,GW,GW,"11.8571691,-15.616317802758058",,2026-06-19 16:45:01,1988947,21,associatedPartner,,0,0,false,
