ror_id,ror_name,country,activity_type,cordis_project_count,cordis_ec_contribution,cordis_contribution_rows,openalex_from_year,openalex_to_year,openalex_works_count_period,openalex_cited_by_count_period
https://ror.org/03gg1ey66,Namibia University of Science and Technology,NA,HES,1,112270.0,1,2021,2026,2049,11689
https://ror.org/03nyjqm54,Universidad del Valle de Guatemala,GT,HES,1,270000.0,1,2021,2026,1251,3735
https://ror.org/03pbhyy22,Tishk International University,IQ,HES,1,0.0,1,2021,2026,3027,26978
https://ror.org/03rk9qf06,University of Kabianga,KE,HES,1,175371.0,1,2021,2026,520,1257
https://ror.org/03sbpft28,University of El Salvador,SV,HES,1,0.0,1,2021,2026,2021,3255
https://ror.org/03sz0wa77,National Institute of Health Somalia,SO,REC,1,306375.0,1,2021,2026,0,0
https://ror.org/03z97cd47,Fundació Privada Centre CIM,ES,REC,1,386250.0,1,2021,2026,212,2290
https://ror.org/03zkxs276,"Czech Academy of Sciences, Centre of Administration and Operations",CZ,PUB,1,52500.0,1,2021,2026,29,13
https://ror.org/040me2j46,Centro de Estudios Fotosintéticos y Bioquímicos,AR,REC,1,0.0,1,2021,2026,232,1225
https://ror.org/045m93336,National University of Equatorial Guinea,GQ,HES,1,0.0,1,2021,2026,183,1613
https://ror.org/04a1r5z94,Hashemite University,JO,REC,1,87250.0,1,2021,2026,7804,59800
https://ror.org/04m1ha467,Sebha University,LY,HES,1,4890.0,1,2021,2026,1325,8242
https://ror.org/04q4xms21,Independent Expert Consulting Board to Promote Scientific Research Activity in Kazakhstan,KZ,REC,1,36062.5,1,2021,2026,111,177
https://ror.org/04sqtjj61,Institut Pasteur de Nouvelle Calédonie,NC,REC,1,2518.0,1,2021,2026,140,789
https://ror.org/04vpcaw67,International Water Management Institute,LK,REC,1,665067.5,1,2021,2026,823,9095
https://ror.org/04xr5we72,Universidad Científica del Sur,PE,HES,1,154200.0,1,2021,2026,6733,28818
https://ror.org/04xreqs31,Institute for Research in Fundamental Sciences,IR,REC,1,0.0,1,2021,2026,3710,30911
https://ror.org/04ycjft64,Mongolian University of Life Sciences,MN,HES,1,0.0,1,2021,2026,1350,4497
https://ror.org/050dyr068,Solomon Islands National University,SB,HES,1,140850.0,1,2021,2026,63,377
https://ror.org/050qmg959,Singapore Management University,SG,HES,1,0.0,1,2021,2026,8189,71156
https://ror.org/053c1ry09,"Njawara Agricultural Training Centre, Gambia",GM,OTH,1,136875.0,1,2021,2026,0,0
https://ror.org/053ykx779,Ministry of Health,SZ,PUB,1,93022.5,1,2021,2026,302,2020
https://ror.org/0579ray12,Centre National de la Recherche Appliquée au Developpement Rural,MG,REC,1,73600.0,1,2021,2026,642,2327
https://ror.org/057a6gk14,University of Gibraltar,GI,HES,1,0.0,1,2021,2026,428,5060
https://ror.org/0595gz585,University of Gondar,ET,HES,1,676500.0,1,2021,2026,11330,73930
https://ror.org/05hgtp764,Joseph Sarwuan Tarka University Makurdi,NG,HES,1,314107.5,1,2021,2026,2648,8600
https://ror.org/05jv9bv25,"iNGR, Inc. (South Korea)",KR,PRC,1,471800.0,1,2021,2026,0,0
https://ror.org/05jxf0p38,University of Papua New Guinea,PG,HES,1,0.0,1,2021,2026,698,3733
https://ror.org/05k903r09,Ardhi University,TZ,REC,1,198157.5,1,2021,2026,828,3202
https://ror.org/05sj7yp62,University of Carabobo,VE,HES,1,62025.0,1,2021,2026,1747,2753
